username, created_at, lng, lat, text
MLG0298, Thu Jun 11 10:08:23 +0000 2020, -86.392482, 39.689906, @GOOD_JUJU_ @Devon_OnEarth @NASCAR Hell! Most of you won't read a newspaper. What makes me think you or anyone who'… https://t.co/sPhzrzRqHq 
Photero, Thu Jun 11 10:08:23 +0000 2020, -80.122355, 26.301198, @realDonaldTrump So when will we name a Marine base after General Mattis? 
AngelitoSama, Thu Jun 11 10:08:23 +0000 2020, -118.163276, 34.685827, Hey Alexa play Lonely Teardrops by Jackie Wilson 
itsmikebivins, Thu Jun 11 10:08:24 +0000 2020, -122.630908, 45.536402, uhh... women—a lot of women, frankly, are definitely attracted to dad bods. “fat guy”≠dad bod. these are two totall… https://t.co/6Eniyf3FBQ 
gslivingston, Thu Jun 11 10:08:24 +0000 2020, -73.948775, 40.655138, Being interviewed on #BlackLivesMatter by #UK journalist David Taylor #GeorgeFloyd #LaquanMcDonald @NiggaTheory… https://t.co/uT7Il1MOXc 
VesiaHawkins, Thu Jun 11 10:08:24 +0000 2020, -86.791549, 36.200008, .@GovBillLee we are not new to this. To many Tennesseans, the Forrest bust is a diabolical symbol of the enslavemen… https://t.co/2lJ0D1yyTk 
Curea2cute, Thu Jun 11 10:08:25 +0000 2020, -82.758371, 28.216251, Random deposits of money 💰♥️ I’ll take that 
ttowndaddy05, Thu Jun 11 10:08:25 +0000 2020, -83.963842, 35.982470, “Remain in me-as I remain in you. No branch can bear fruit by itself-it must remain in the vine. You can not bear f… https://t.co/8PZMBIg9SC 
JosephV64384697, Thu Jun 11 10:08:25 +0000 2020, -71.683502, 42.036939, Declare Marshall Law Send Feds 
KingMikey10, Thu Jun 11 10:08:25 +0000 2020, -84.212973, 33.850397, Another day another dollar 🦾💰 
Litzay8_, Thu Jun 11 10:08:25 +0000 2020, -122.205946, 47.773496, @daniella_K28 Oooof 
LilSiMpGaNg_23, Thu Jun 11 10:08:25 +0000 2020, -81.346018, 40.951281, @artisticatty I had “pneumonia” at the end of January and they said first case in the US was in January lol, they d… https://t.co/2z70jch1yj 
Zeedoell3, Thu Jun 11 10:08:25 +0000 2020, -90.011008, 29.982601, @Swagg You deserve it 🐐 
